HolderAddress,Balance,PendingBalanceUpdate
0x97ecdd08861316d914b92467eef61470af1176dc,259.26,no
0x61a6b93ed977ab82d00a8877315b59a56bab5a0f,259.26,no
0xbb69c46ec239c3484b3863fd9089aac4c634affe,233.33,no
0x8af7ffcdd583601a1dc28a12b0327c6d11194f03,202.00,no
0x408939fada9d9316283b258a7d6e9afca76f8aad,200.00,no
0x102fa1b6c06885f764710ccb262f0b7623f4303e,200.00,no
0x9c446a54251bb78137ac838b9345132859b7a07c,200.00,no
0x0193039d4fd405540a0a53e657586f93c1da12c3,200.00,no
0x362fff5c3a6fb36e7d8c04fe783d87419c0afba5,200.00,no
0x5ef533fa865954324e488f3c46606d03b7d097d7,198.00,no
0xf36255d454f8d121dfcd01be06514918d1f523ce,190.00,no
0xdddf2a5787da435d5a3e6d3de42ca07a558bab2e,129.63,no
0x40ac69817ba84c05738adc579de0d86d090e9832,111.11,no
0x05fce742413bfc531fe4274698a32ebe96356a7c,100.00,no
0x21f43f3d7608db691e52b0723053585f1ffb04f6,100.00,no
0xbbbfcaaeb6814f3ed928a5dbfae6d0c047609cff,83.33,no
0xdca2644837b559958031d9f4fa7a2cadeae024db,82.00,no
0x5904176daa7967880bd942e089bcc1e6809c1df6,80.00,no
0x125477077d1b4dc9ce829a01b313c13b518eea31,60.00,no
0x7815285f63b8cfb7e9a39239971af5b1bbdea8d4,50.00,no
0xc4210bfd73206c3208ae1f0854ee146ed8f1271b,41.67,no
0x53efb7abe008b34d3b873487de45c7a78adf9865,18.52,no
0xf1442f48c684c03fdb3936e2b168228293f970aa,10.00,no
0xac1a754fdee85548787d4f190800ab3c84dae802,5.56,no
0x739ac7e610cfd62cee7d4498025f80c9ec74cd45,"2,299,999",no
0x974b34f4d1e630595e374facd5c07d2c2da7f0f1,"807,014",no
0x085f2d3e2e1e4db05361a7c57bf7bf4a14cce1d0,"305,783",no
0x83179a13e3124ec4ab2d59c1d20c89172b85f104,"252,288",no
0x9a2484817aaa064562a25f8b07e4465d89bb2f9e,"220,459",no
0x15a87ac88f24579e07b17707f22e85e4fad5877c,"206,000",no
0x3edd60301c3cf6f6283638c3eba524693db329de,"205,000",no
0x78e5180b312fcc034837b5033acd630a5f4edacc,"200,000",no
0x23b317d6e1a904a2590ad9a9adc8e8fa88e90837,"200,000",no
0x807afe36c151f10cb445572a4352d51c0e6d81a8,"169,096",no
0x0c66774ac46070ab40b8821d72947518eb34192b,"168,750",no
0xf8d78e4f74e6edd5be4b5482586fa1a30222f7f3,"166,439",no
0xa5720f0dae50d465d5a151bc25501bb9e5c85e4f,"151,242",no
0x2026fc9479a9a763fd8b7214144c77291031b5b3,"142,000",no
0x023eacc4964847d2b9f33c2dc5c58416f403c838,"141,613",no
0x1bf3d9f6dde803153aacb643a29881ccde64ce78,"139,447",no
0x35ba813155490777099d5cd07e596fad234b5d39,"132,277",no
0xe2b2c727812296910e9662c284e3abe8077afb03,"127,857",no
0xba02820da53bed2712b5d404a58dc5d01f12e23e,"125,000",no
0xc36924449e569f2245fdee9323b14e6631e241ff,"125,000",no
0x3ea9ad961c3a9494ae47c48937a261c0f62337f1,"121,504",no
0x25eb47bf0f1b44b82dcc1e13faf869720bfd7b11,"114,762",no
0x6c5a367b1d03154d221e9a9292e1cc39a4a34827,"110,526",no
